,Open,High,Low,Close,Adj Close,Volume,Date,company
0,51.580002,51.580002,50.369999,51.16,50.469807,106900.0,2021-07-06T00:00:00,AZZ
1,50.970001,51.919998,50.970001,51.740002,51.041985,155700.0,2021-07-07T00:00:00,AZZ
2,50.990002,52.43,50.610001,51.540001,50.844681,244800.0,2021-07-08T00:00:00,AZZ
3,54.540001,57.619999,53.540001,57.57,56.793331,355900.0,2021-07-09T00:00:00,AZZ
4,57.849998,57.849998,55.029999,55.049999,54.307323,250100.0,2021-07-12T00:00:00,AZZ
5,55.080002,55.080002,53.02,53.130001,52.413227,245300.0,2021-07-13T00:00:00,AZZ
6,53.560001,53.560001,51.959999,52.689999,51.979168,169500.0,2021-07-14T00:00:00,AZZ
7,52.439999,52.450001,51.59,51.98,51.278744,267200.0,2021-07-15T00:00:00,AZZ
8,52.669998,52.669998,51.189999,51.41,50.716434,167900.0,2021-07-16T00:00:00,AZZ
9,50.529999,51.66,50.459999,51.150002,50.627357,211200.0,2021-07-19T00:00:00,AZZ
10,51.32,52.700001,51.220001,52.419998,51.884373,283600.0,2021-07-20T00:00:00,AZZ
11,52.869999,53.900002,52.57,52.860001,52.319881,135300.0,2021-07-21T00:00:00,AZZ
12,52.610001,52.610001,51.830002,52.09,51.557747,85800.0,2021-07-22T00:00:00,AZZ
13,52.389999,52.830002,52.099998,52.790001,52.250599,70300.0,2021-07-23T00:00:00,AZZ
14,52.919998,53.599998,52.560001,52.849998,52.309978,61300.0,2021-07-26T00:00:00,AZZ
15,52.419998,52.759998,51.91,52.450001,51.91407,53700.0,2021-07-27T00:00:00,AZZ
16,52.82,53.68,51.57,53.41,52.864262,119000.0,2021-07-28T00:00:00,AZZ
17,53.560001,54.220001,53.220001,53.830002,53.279968,56600.0,2021-07-29T00:00:00,AZZ
18,53.740002,54.279999,52.959999,52.990002,52.448555,82400.0,2021-07-30T00:00:00,AZZ
19,53.360001,54.41,52.450001,52.580002,52.042744,110800.0,2021-08-02T00:00:00,AZZ
20,52.77,53.880001,52.099998,52.740002,52.201107,188400.0,2021-08-03T00:00:00,AZZ
21,52.240002,53.32,52.110001,52.110001,51.577541,111700.0,2021-08-04T00:00:00,AZZ
22,52.43,53.23,52.200001,52.630001,52.092232,54700.0,2021-08-05T00:00:00,AZZ
23,53.169998,53.169998,52.639999,52.900002,52.35947,59900.0,2021-08-06T00:00:00,AZZ
24,52.529999,52.919998,52.209999,52.560001,52.022945,64600.0,2021-08-09T00:00:00,AZZ
25,52.48,53.59,52.48,53.470001,52.923645,50000.0,2021-08-10T00:00:00,AZZ
26,53.34,53.990002,53.25,53.990002,53.438335,52600.0,2021-08-11T00:00:00,AZZ
27,53.950001,54.610001,53.369999,53.84,53.289867,53000.0,2021-08-12T00:00:00,AZZ
28,53.720001,54.009998,53.060001,53.630001,53.082012,35300.0,2021-08-13T00:00:00,AZZ
29,53.119999,53.610001,52.189999,52.970001,52.428757,47300.0,2021-08-16T00:00:00,AZZ
30,52.290001,52.580002,51.740002,52.330002,51.7953,58800.0,2021-08-17T00:00:00,AZZ
31,52.16,52.549999,51.459999,51.700001,51.171734,63000.0,2021-08-18T00:00:00,AZZ
32,51.139999,51.549999,50.66,50.880001,50.360115,92800.0,2021-08-19T00:00:00,AZZ
33,50.810001,52.119999,50.810001,51.869999,51.339996,81200.0,2021-08-20T00:00:00,AZZ
34,52.369999,52.84,52.02,52.259998,51.726009,38700.0,2021-08-23T00:00:00,AZZ
35,52.349998,52.82,52.240002,52.540001,52.003151,45100.0,2021-08-24T00:00:00,AZZ
36,52.380001,53.299999,52.32,52.32,51.785397,34400.0,2021-08-25T00:00:00,AZZ
37,52.130001,52.59,51.93,51.98,51.448872,56700.0,2021-08-26T00:00:00,AZZ
38,52.25,53.939999,52.25,53.73,53.180988,97000.0,2021-08-27T00:00:00,AZZ
39,54.049999,54.049999,53.110001,53.310001,52.765282,53400.0,2021-08-30T00:00:00,AZZ
40,53.380001,54.099998,53.25,53.549999,53.002831,76200.0,2021-08-31T00:00:00,AZZ
41,53.700001,53.700001,52.66,53.23,52.686096,44400.0,2021-09-01T00:00:00,AZZ
42,53.380001,53.860001,53.099998,53.759998,53.210682,46000.0,2021-09-02T00:00:00,AZZ
43,53.619999,53.619999,52.939999,53.509998,52.963238,54300.0,2021-09-03T00:00:00,AZZ
44,53.110001,53.389999,52.130001,52.220001,51.68642,61700.0,2021-09-07T00:00:00,AZZ
45,51.849998,52.029999,51.189999,51.799999,51.27071,100700.0,2021-09-08T00:00:00,AZZ
46,51.73,52.380001,51.630001,52.0,51.46867,72700.0,2021-09-09T00:00:00,AZZ
47,52.41,52.41,51.650002,51.720001,51.191532,63500.0,2021-09-10T00:00:00,AZZ
48,52.029999,52.380001,51.5,52.16,51.627033,79700.0,2021-09-13T00:00:00,AZZ
49,52.310001,52.310001,51.189999,51.41,50.884697,64900.0,2021-09-14T00:00:00,AZZ
50,51.220001,52.360001,51.0,52.16,51.627033,118400.0,2021-09-15T00:00:00,AZZ
51,52.110001,52.389999,51.360001,52.02,51.488464,94800.0,2021-09-16T00:00:00,AZZ
52,51.990002,52.119999,51.43,51.740002,51.211327,375900.0,2021-09-17T00:00:00,AZZ
53,50.75,51.290001,50.25,51.209999,50.686741,111100.0,2021-09-20T00:00:00,AZZ
54,51.389999,51.459999,50.580002,50.900002,50.37991,136000.0,2021-09-21T00:00:00,AZZ
55,51.23,52.299999,51.23,51.869999,51.339996,69600.0,2021-09-22T00:00:00,AZZ
56,52.02,52.970001,52.02,52.450001,51.91407,52800.0,2021-09-23T00:00:00,AZZ
57,52.049999,52.68,51.919998,51.98,51.448872,70400.0,2021-09-24T00:00:00,AZZ
58,52.0,53.950001,52.0,53.290001,52.745491,67800.0,2021-09-27T00:00:00,AZZ
59,53.119999,53.200001,52.5,52.720001,52.181313,57400.0,2021-09-28T00:00:00,AZZ
60,52.84,53.68,52.43,53.68,53.1315,68700.0,2021-09-29T00:00:00,AZZ
61,53.919998,53.919998,52.970001,53.200001,52.656406,100600.0,2021-09-30T00:00:00,AZZ
62,53.630001,54.470001,52.950001,53.91,53.359154,96400.0,2021-10-01T00:00:00,AZZ
63,53.610001,54.540001,53.540001,54.400002,53.844147,109900.0,2021-10-04T00:00:00,AZZ
64,54.43,55.07,53.939999,54.639999,54.081692,87000.0,2021-10-05T00:00:00,AZZ
65,54.130001,54.200001,53.299999,54.060001,53.507622,88300.0,2021-10-06T00:00:00,AZZ
66,54.439999,55.619999,54.439999,55.380001,54.814133,180800.0,2021-10-07T00:00:00,AZZ
67,55.509998,55.889999,54.75,54.939999,54.378624,63900.0,2021-10-08T00:00:00,AZZ
